objectid,SHAPE,globalid,RequiredFieldNote,ReviewDate,CrossingInventoryNumber,PrimaryOperatingRR,StateAL,CountyList,CityMunicipalityName,StreetName,BlockNumber,RouteID,Latitude,Longitude,LatLongSource,CrossingType,CrossingPurpose,CrossingPosition,PrivateCrossing,PublicAccess,TypeOfLandUsed,AdjacentCrossing,StateUse31A,StateUse31B,StateUse31C,StateUse31D,NarrativeStateUse,TrackType,TrackTypeCount,SignsOrSignalsYesNo,Crossbuck,StopSign,YieldSign,AdvanceWarningSigns,W101,W102,W103,W104,W1011,W1012,LowGroundClearanceSign,PavementMarkings,ChannelizationDevices,ExemptSign,ENSSign,PrivateCrossingSigns,LEDEnhancedSigns,OtherMUTCDSigns,MUTCD1,MUTCD1Count,MUTCD2,MUTCD2Count,MUTCD3,MUTCD3Count,GateArmsRoadway,GateArmsPed,GateConfiguration,OverTraffLane,NotOverTraffLane,FlashingLightType,MastCount,MastMountedFlashingLights,FlashingLightPairCount,WaysideHorn,WaysideHornInstallationDate,HighwayTrafficSignalsControllingCrossing,BellCount,NonTrainActiveWarning,OtherFlashingLightsOrWarningDevices,OtherFlashingLightsOrWartningDeviceType,NrbyTrafficSignals,HwyTrafficSignalInterconnection,HwyTrafficSignalPreemption,HighwayTrafficPreSignals,StorageDistance,StopLineDistance,HwyMonitoringDevices,TrafficLanesCrossingRR,NumberOfLanes,IsRoadwayPathwayPaved,RunDownStreet,CrossingIlluminated,CrossingSurfaceType,OtherCrossingSurfaceType,CrossingSurfaceInstallationDate,CrossingSurfaceWidth,CrossingSurfaceLength,IntersectingRoadway,IntersectingRdwyApproxDist,SmallestCrossingAngle,CommercialPowerAvailability,HighwaySystem,RuralUrban,FunctionalClassification,StateHwySystem,SpeedLimit,SpeedLimitPosted,AADT,AADTYear,EstimatedPercentTrucks,UsedByBuses,AvgNumPerDay,EmergencySvcsRoute,CreationDate,Creator,EditDate,Editor,processed_data
14,"(-86.37737479999998, 32.37524940000003)",{D9D78FBA-F591-4C0E-A01A-66870CA837B0},,2021-03-11 18:00:00,306570L,Select,Alabama,Select,,,,,32.3752494,-86.3773748,Actual,,,,,,,,,,,,,Select,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,No,,No,,,,,No,,,No,,,None,,,No,No,No,,,,,,No,,,No,,,,No,0,,0,2019-01-01 06:00:00,,No,,No,2021-03-11 15:42:05.056000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
15,"(-86.37737239999996, 32.37517860000003)",{0DD2217B-CBA3-40E9-981F-FAE70A6563E7},,2021-03-11 18:00:00,306574n,Select,Alabama,Select,,,,,32.3751786,-86.3773724,Actual,,,,,,,,,,,,,Select,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,No,,No,,,,,No,,,No,,,None,,,No,No,No,,,,,,No,,,No,,,,No,0,,0,2019-01-01 06:00:00,,No,,No,2021-03-11 16:02:57.118000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
16,"(-86.35807409999995, 32.37615420000003)",{5CDAA920-7682-43B3-9C62-BBBD160CE987},,2021-03-11 18:00:00,306575v,Select,Alabama,Select,,,,,32.3761542,-86.3580741,Actual,,,,,,,,,,,,,Select,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,No,,No,,,,,No,,,No,,,None,,,No,No,No,,,,,,No,,,No,,,,No,0,,0,2019-01-01 06:00:00,,No,,No,2021-03-11 16:08:11.303001,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
17,"(-86.35166339999995, 32.367603700000075)",{F4B8AD92-5582-4CE4-9BE4-EB9440B219A9},,2021-03-11 18:00:00,306576C,Select,Alabama,Select,,,,,32.3676037,-86.3516634,Actual,,,,,,,,,,,,,Select,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,No,,No,,,,,No,,,No,,,None,,,No,No,No,,,,,,No,,,No,,,,No,0,,0,2019-01-01 06:00:00,,No,,No,2021-03-11 16:20:28.787000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
18,"(-86.33553649999999, 32.37295910000006)",{4E48A64C-F0A0-4078-A241-15CAFEC4D522},,2021-03-11 18:00:00,306580s,CSX,Alabama,Montgomery,,,,,32.3729591,-86.3355365,Actual,,,,,,,,,,,,,Select,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,No,,No,,,,,No,,,No,,,None,,,No,No,No,,,,,,No,,,No,,,,No,0,,0,2019-01-01 06:00:00,,No,,No,2021-03-11 19:01:42.086000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
19,"(-86.31352479999998, 32.391241800000046)",{79465425-9AF4-4D32-AEBE-476F94D2A174},,2021-03-11 18:00:00,351202R,CSX,Alabama,Montgomery,Montgomery,Walker st,,City,32.3912418,-86.3135248,Actual,PublicCrossing,Highway,AtGrade,No,,Commercial,No,,,,,,Industry,1,No,2,,,,1,,,,,,,,,,Yes,,,,,,,,,,0,0,,,,,,,,No,,No,,,,,No,,,No,,,None,,,No,No,No,2,,,4,24,No,,Angle2,Yes,NonFederalAid,,MajorCollector,No,25,Posted,0,2011-01-01 06:00:00,,No,,Yes,2021-03-11 19:14:02.318000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
20,"(-86.31101289999998, 32.38548840000004)",{8375446B-90F1-4675-B14A-E089C9B3B9ED},,2021-03-11 18:00:00,655904Y,Select,Alabama,Select,,,,,32.3854884,-86.3110129,Actual,,,,,,,,,,,,,Select,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,No,,No,,,,,No,,,No,,,None,,,No,No,No,,,,,,No,,,No,,,,No,0,,0,2019-01-01 06:00:00,,No,,No,2021-03-11 19:33:31.866000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
21,"(-86.31127129999999, 32.385561100000075)",{DB01C151-508A-44A5-8415-1A894255EB57},,2021-03-11 18:00:00,351219u,CSX,Alabama,Montgomery,mONTGOMERY,W RAILROAD ST,,City,32.3855611,-86.3112713,Actual,PublicCrossing,Highway,AtGrade,No,Yes,Commercial,No,,,,,,Main,2,Yes,,,,Yes,1,,,,,,,,,No,Yes,No,,Yes,1,,,,,,0,0,,,,,2,,1,No,,No,1,,,,No,,,No,,,None,TwoWay,2,No,No,Yes,3,,,24,30,No,,,Yes,NonFederalAid,,,No,0,Posted,400,2011-01-01 06:00:00,,No,,Yes,2021-03-11 19:35:11.329000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
22,"(-86.30941209999997, 32.38575160000005)",{71859FB7-833D-4617-9327-15C6A1AB37CB},,2021-03-11 18:00:00,831231C,CSX,Alabama,Montgomery,Montgomery,N Court st,700,City,32.3857516,-86.3094121,Actual,PublicCrossing,Highway,AtGrade,No,Yes,Commercial,,,,,,,Main,1,Yes,2,,,Yes,4,,,,,,,yes,,No,Yes,,,,,,,,,,0,0,,,,,,,,No,,No,,,,,No,,,No,,,None,,,No,No,No,,,,,,No,,,No,,,,No,0,,0,2019-01-01 06:00:00,,No,,No,2021-03-11 19:41:21.431000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
23,"(-86.30910989999995, 32.38960840000004)",{1C0283A2-1509-4F8B-8A05-A080F2D411EC},,2021-03-11 18:00:00,831292T,CSX,Alabama,Montgomery,Montromery,N Court st,,City,32.3896084,-86.3091099,Actual,PublicCrossing,Highway,AtGrade,No,Yes,Commercial,No,,,,,,Yard,1,Yes,2,,,,2,,,,,,,yes,,No,Yes,No,,Yes,2,,,,,,0,0,,,,,,,,No,,No,,,,,No,no,,No,,,None,TwoWay,2,Yes,No,Yes,3,,,9,110,No,,,Yes,NonFederalAid,Urban,MinorCollector,No,40,Posted,3350,2011-01-01 06:00:00,,No,,Yes,2021-03-11 19:46:31.983001,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
24,"(-86.30870889999994, 32.39372910000003)",{D1E8867D-D758-408E-8A46-92F69ECD4B84},,2021-03-11 18:00:00,831225Y,CSX,Alabama,Montgomery,Montgomery,N COURT ST,1400,City,32.3937291,-86.3087089,Actual,PublicCrossing,Highway,AtGrade,No,Yes,Commercial,No,,,,,SOUTH OF RACE ST.,Industry,1,No,2,,,Yes,2,,,,,,,,,No,Yes,No,,Yes,1,,,,,,0,0,,,,,,,,No,,No,,,,,No,,,No,,,None,TwoWay,2,Yes,No,Yes,3,,,9,78,No,,Angle2,Yes,NonFederalAid,Urban,Local,No,40,Posted,2800,2011-01-01 06:00:00,,No,,Yes,2021-03-11 19:50:43.198000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
25,"(-86.30871039999994, 32.39405490000007)",{065BCEC3-D8B2-448E-A6D9-C6FE7B864048},,2021-03-11 18:00:00,831224S,CSX,Alabama,Montgomery,MONTGOMERY,N COURT ST,1400,City,32.3940549,-86.3087104,Actual,PublicCrossing,Highway,AtGrade,Yes,Yes,Commercial,No,,,,,,Industry,1,Yes,2,,,Yes,1,,,,,,,yes,,No,Yes,,,Yes,1,,,,,,0,0,,-1,,,,,,No,,No,,,,,No,,,No,,,None,TwoWay,2,Yes,No,Yes,3,,,9,78,No,,,Yes,NonFederalAid,,,No,40,Posted,2800,2011-01-01 06:00:00,,No,,Yes,2021-03-11 19:52:07.250000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
26,"(-86.31077879999998, 32.39393940000008)",{C2696157-B5B9-42BB-ACFA-2BA36E8B9675},,2021-03-11 18:00:00,351203X,CSX,Alabama,Montgomery,Montgomery,SHELBY ST / GUNDY ST,700,City,32.3939394,-86.3107788,Actual,PublicCrossing,Highway,AtGrade,No,Yes,Commercial,No,,,,,,Yard,1,Yes,2,0,2,Yes,1,,,,,,,,,,Yes,,,,,,,,,,0,0,,,,,,,,No,,No,,,,,No,,,No,,,None,TwoWay,2,Yes,No,Yes,asphalt,,,9,60,No,,Angle2,Yes,NonFederalAid,,,No,25,Statutory,70,2011-01-01 06:00:00,,No,,No,2021-03-11 19:57:27.160000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
27,"(-86.31095529999999, 32.393956600000024)",{226F7048-70E6-4563-8104-61847CE160F3},,2021-03-11 18:00:00,635905F,CSX,Alabama,Montgomery,Montgomery,CHANDLER ST ,1100,City,32.3939566,-86.3109553,Actual,PublicCrossing,Highway,AtGrade,No,Yes,Commercial,No,,,,,,Yard,,No,2,,,Yes,,,,,,,,,,,Yes,No,,,,,,,,,0,0,,,,,,,,No,,No,,,,,No,,,No,,,None,TwoWay,2,Yes,No,No,Asphalt/Timber,,,9,66,No,,Angle2,No,NonFederalAid,Urban,MajorCollector,No,35,Statutory,550,2019-01-01 06:00:00,,No,,Yes,2021-03-11 19:59:15.114000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
28,"(-86.31444639999995, 32.39764990000003)",{708C5F51-8572-4FED-854B-80FCFC0EC641},,2021-03-11 18:00:00,351109y,Select,Alabama,Select,,,,,32.3976499,-86.3144464,Actual,,,,,,,,,,,,,Select,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,No,,No,,,,,No,,,No,,,None,,,No,No,No,,,,,,No,,,No,,,,No,0,,0,2019-01-01 06:00:00,,No,,No,2021-03-11 20:05:53.891001,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
29,"(-86.31278169999996, 32.39891360000007)",{62FB411D-51CD-4BF7-A2CE-AE651ACD41A8},,2021-03-11 18:00:00,351192M,Select,Alabama,Montgomery,Montgomery,RACE ST,0,City,32.3989136,-86.3127817,Actual,PublicCrossing,Highway,AtGrade,No,Yes,Commercial,No,"Per the respective Roadmasters, no XBs issue has been addressed",,,,,Industry,1,No,2,,2,No,,,,,,,,yes,,,Yes,No,,,,,,,,,0,0,,,,,,,,No,,No,,,,,No,,,No,,,None,TwoWay,2,Yes,No,No,Asphalt,,,9,33,No,,,No,,Urban,Local,No,25,Statutory,0,2011-01-01 06:00:00,,No,,No,2021-03-11 20:11:05.095001,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
30,"(-86.30953759999994, 32.39889670000008)",{1ADA7486-24F3-4F04-8D41-042FD3507A94},,2021-03-11 18:00:00,831225Y,CSX,Alabama,Montgomery,Montgomery,RACE ST,100,City,32.3988967,-86.3095376,Actual,PublicCrossing,Highway,AtGrade,No,Yes,Commercial,,,,,,,Industry,,No,2,,2,,,,,,,,,,,,,No,,No,,,,,,,0,0,,2,0,,,,,No,,No,,,,,No,,,No,,,None,TwoWay,2,Yes,No,No,2,,,9,66,No,,,No,,Urban,,No,25,Statutory,10,2011-01-01 06:00:00,0,No,0,Yes,2021-03-11 20:14:44.951000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
31,"(-86.31264179999994, 32.40387840000005)",{BA050E13-9977-4D68-9FA3-38CE14D17A33},,2021-03-11 18:00:00,351194B,CSX,Alabama,Montgomery,Montgomery,6TH ST,NA,NA,32.4038784,-86.3126418,Actual,PublicCrossing,Highway,AtGrade,No,Yes,Commercial,No,,,,,,Select,,Yes,2,2,,,,,,,,,,,,,Yes,No,,,1,,,,,,0,0,,,,,,,,No,,No,,NO,,,No,,,No,,,None,TwoWay,2,Yes,No,Yes,,,,66,36,No,,Angle2,No,,,,No,45,Posted,3390,2011-01-01 06:00:00,0,No,,No,2021-03-11 20:19:53.909000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
32,"(-85.65303346199994, 34.51663404900006)",{3D1FD6CA-3881-4FA1-BA4F-060062A4AF9A},,2021-03-15 17:00:00,948217J,NS,Alabama,DeKalb,Fort payne,Private,,Pvt,,,Actual,PrivateCrossing,Highway,AtGrade,Yes,,Institutional,No,,,,,,Select,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,0,None,,,,,,,No,,No,,,,,No,,,No,,,None,TwoWay,,No,No,No,Asphalt,,,,,No,,,No,,,,No,0,,0,2019-01-01 06:00:00,,No,,No,2021-03-15 16:31:29.474000,carreirol_ALDOT,2021-05-20 15:38:05,DANGN,1
33,"(-86.53979611699998, 33.54399109600007)",{37F0444E-8439-448C-9E54-238A3155116C},,2021-04-08 17:00:00,726869P,NS,Alabama,Jefferson,Leeds,9th strert,,,33.5439910956086,-86.53979611700912,Actual,,,,,,,,,,,,,Select,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,No,,No,,,,,No,,,No,,,None,,,No,No,No,,,,,,No,,,No,,,,No,0,,0,2019-01-01 06:00:00,,No,,No,2021-04-08 15:21:37.539000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
34,"(-86.53669209999998, 32.32893400000006)",{218559CF-F3FB-4F8C-BF45-C74D422156EB},,2021-04-28 17:00:00,831355V,MNBR,Alabama,Select,,,,,32.328934,-86.5366921,Actual,,,,,,,,,,,,,Select,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,No,,No,,,,,No,,,No,,,None,,,No,No,No,,,,,,No,,,No,,,,No,0,,0,2019-01-01 06:00:00,,No,,No,2021-04-28 14:00:21.872000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
35,"(-86.57093486799994, 32.33059326100005)",{90C6A0C2-5B2C-466B-88AF-E1CE07D903BC},,2021-04-28 17:00:00,831356C,MNBR,Alabama,Select,,,,,32.3305932608906,-86.57093486762646,Actual,,,,,,,,,,,,,Select,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,No,,No,,,,,No,,,No,,,None,,,No,No,No,,,,,,No,,,No,,,,No,0,,0,2019-01-01 06:00:00,,No,,No,2021-04-28 14:11:20.553000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
36,"(-86.60845189999998, 32.33013130000006)",{2C306969-B16C-42BE-8031-ABC7ECB228BB},,2021-04-28 17:00:00,831360S,MNBR,Alabama,Select,,,,,32.3301313,-86.6084519,Actual,,,,,,,,,,,,,Select,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,No,,No,,,,,No,,,No,,,None,,,No,No,No,,,,,,No,,,No,,,,No,0,,0,2019-01-01 06:00:00,,No,,No,2021-04-28 14:19:29.926000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
37,"(-86.61657239999994, 32.32390060000006)",{B6BE1328-D083-4257-B0B4-CA9313B662E4},,2021-04-28 17:00:00,831361Y,MNBR,Alabama,Select,,,,,32.3239006,-86.6165724,Actual,,,,,,,,,,,,,Select,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,No,,No,,,,,No,,,No,,,None,,,No,No,No,,,,,,No,,,No,,,,No,0,,0,2019-01-01 06:00:00,,No,,No,2021-04-28 14:30:16.133000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
38,"(-86.70334689999999, 32.32697250000007)",{AE6B83E7-D4D2-49A9-9916-F150D47B7AA1},,2021-04-28 17:00:00,831366H,MNBR,Alabama,Select,,,,,32.3269725,-86.7033469,Actual,,,,,,,,,,,,,Select,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,No,,No,,,,,No,,,No,,,None,,,No,No,No,,,,,,No,,,No,,,,No,0,,0,2019-01-01 06:00:00,,No,,No,2021-04-28 14:59:00.637000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
39,"(-86.71168849999998, 32.327318400000024)",{028E466D-5096-45BD-B832-FCBA76C15328},,2021-04-28 17:00:00,831367P,MNBR,Alabama,Select,,,,,32.3273184,-86.7116885,Actual,,,,,,,,,,,,,Select,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,No,,No,,,,,No,,,No,,,None,,,No,No,No,,,,,,No,,,No,,,,No,0,,0,2019-01-01 06:00:00,,No,,No,2021-04-28 15:06:22.532000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
40,"(-86.72059899999994, 32.326819500000056)",{1AE3AE8F-A050-4797-A2B3-99C7409E4FE3},,2021-04-28 17:00:00,831368W,MNBR,Alabama,Select,,,,,32.3268195,-86.720599,Actual,,,,,,,,,,,,,Select,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,No,,No,,,,,No,,,No,,,None,,,No,No,No,,,,,,No,,,No,,,,No,0,,0,2019-01-01 06:00:00,,No,,No,2021-04-28 15:12:50.831000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
41,"(-86.73861569999997, 32.324555900000064)",{11E92483-CFC6-4BF4-A8BC-B6169F3A62E6},,2021-04-28 17:00:00,831369D,MNBR,Alabama,Select,,,,,32.3245559,-86.7386157,Actual,,,,,,,,,,,,,Select,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,No,,No,,,,,No,,,No,,,None,,,No,No,No,,,,,,No,,,No,,,,No,0,,0,2019-01-01 06:00:00,,No,,No,2021-04-28 15:43:29.987000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
42,"(-86.77697508999995, 32.31755005700006)",{20F09FA6-B908-4617-9E67-280CC0364B27},,2021-04-28 17:00:00,831373T,MNBR,Alabama,Select,,,,,32.317550056997554,-86.77697509049665,Actual,,,,,,,,,,,,,Select,,No,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,No,,No,,,,,No,,,No,,,None,,,No,No,No,,,,,,No,,,No,,,,No,0,,0,2019-01-01 06:00:00,,No,,No,2021-04-28 16:33:23.638000,johnsondav_ALDOT,2021-05-20 15:38:05,DANGN,1
